Driver,Team,LapNumber,LapTime,Compound,TyreLife,Position,PitInTime,PitOutTime
RUS,Mercedes,1.0,0 days 00:01:43.905000,MEDIUM,1.0,1.0,,
RUS,Mercedes,2.0,0 days 00:01:39.149000,MEDIUM,2.0,1.0,,
RUS,Mercedes,3.0,0 days 00:01:38.035000,MEDIUM,3.0,1.0,,
RUS,Mercedes,4.0,0 days 00:01:37.570000,MEDIUM,4.0,1.0,,
RUS,Mercedes,5.0,0 days 00:01:37.184000,MEDIUM,5.0,1.0,,
RUS,Mercedes,6.0,0 days 00:01:36.854000,MEDIUM,6.0,1.0,,
RUS,Mercedes,7.0,0 days 00:01:36.768000,MEDIUM,7.0,1.0,,
RUS,Mercedes,8.0,0 days 00:01:36.655000,MEDIUM,8.0,1.0,,
RUS,Mercedes,9.0,0 days 00:01:36.726000,MEDIUM,9.0,1.0,,
RUS,Mercedes,10.0,0 days 00:01:36.665000,MEDIUM,10.0,1.0,,
RUS,Mercedes,11.0,0 days 00:01:36.712000,MEDIUM,11.0,1.0,,
RUS,Mercedes,12.0,0 days 00:01:36.485000,MEDIUM,12.0,1.0,,
RUS,Mercedes,13.0,0 days 00:01:36.630000,MEDIUM,13.0,1.0,,
RUS,Mercedes,14.0,0 days 00:01:36.822000,MEDIUM,14.0,1.0,,
RUS,Mercedes,15.0,0 days 00:01:37.152000,MEDIUM,15.0,1.0,,
RUS,Mercedes,16.0,0 days 00:01:36.903000,MEDIUM,16.0,1.0,,
RUS,Mercedes,17.0,0 days 00:01:36.973000,MEDIUM,17.0,1.0,,
RUS,Mercedes,18.0,0 days 00:01:37.039000,MEDIUM,18.0,1.0,,
RUS,Mercedes,19.0,0 days 00:01:36.916000,MEDIUM,19.0,1.0,,
RUS,Mercedes,20.0,0 days 00:01:37.259000,MEDIUM,20.0,1.0,,
RUS,Mercedes,21.0,0 days 00:01:37.109000,MEDIUM,21.0,1.0,,
RUS,Mercedes,22.0,0 days 00:01:37.226000,MEDIUM,22.0,1.0,,
RUS,Mercedes,23.0,0 days 00:01:37.158000,MEDIUM,23.0,1.0,,
RUS,Mercedes,24.0,0 days 00:01:37.199000,MEDIUM,24.0,1.0,,
RUS,Mercedes,25.0,0 days 00:01:43.178000,MEDIUM,25.0,1.0,0 days 01:35:32.507000,
RUS,Mercedes,26.0,0 days 00:01:53.098000,HARD,1.0,3.0,,0 days 01:35:56.501000
RUS,Mercedes,27.0,0 days 00:01:35.676000,HARD,2.0,2.0,,
RUS,Mercedes,28.0,0 days 00:01:35.843000,HARD,3.0,1.0,,
RUS,Mercedes,29.0,0 days 00:01:35.795000,HARD,4.0,1.0,,
RUS,Mercedes,30.0,0 days 00:01:36.027000,HARD,5.0,1.0,,
RUS,Mercedes,31.0,0 days 00:01:35.912000,HARD,6.0,1.0,,
RUS,Mercedes,32.0,0 days 00:01:35.836000,HARD,7.0,1.0,,
RUS,Mercedes,33.0,0 days 00:01:36.123000,HARD,8.0,1.0,,
RUS,Mercedes,34.0,0 days 00:01:35.904000,HARD,9.0,1.0,,
RUS,Mercedes,35.0,0 days 00:01:35.879000,HARD,10.0,1.0,,
RUS,Mercedes,36.0,0 days 00:01:35.910000,HARD,11.0,1.0,,
RUS,Mercedes,37.0,0 days 00:01:36.119000,HARD,12.0,1.0,,
RUS,Mercedes,38.0,0 days 00:01:36.189000,HARD,13.0,1.0,,
RUS,Mercedes,39.0,0 days 00:01:36.248000,HARD,14.0,1.0,,
RUS,Mercedes,40.0,0 days 00:01:36.357000,HARD,15.0,1.0,,
RUS,Mercedes,41.0,0 days 00:01:36.128000,HARD,16.0,1.0,,
RUS,Mercedes,42.0,0 days 00:01:37,HARD,17.0,1.0,,
RUS,Mercedes,43.0,0 days 00:01:37.065000,HARD,18.0,1.0,,
RUS,Mercedes,44.0,0 days 00:01:37.890000,HARD,19.0,1.0,,
RUS,Mercedes,45.0,0 days 00:01:37.401000,HARD,20.0,1.0,,
RUS,Mercedes,46.0,0 days 00:01:37.026000,HARD,21.0,1.0,,
RUS,Mercedes,47.0,0 days 00:01:36.761000,HARD,22.0,1.0,,
RUS,Mercedes,48.0,0 days 00:01:36.183000,HARD,23.0,1.0,,
RUS,Mercedes,49.0,0 days 00:01:36.077000,HARD,24.0,1.0,,
RUS,Mercedes,50.0,0 days 00:01:36.223000,HARD,25.0,1.0,,
RUS,Mercedes,51.0,0 days 00:01:37.317000,HARD,26.0,1.0,,
RUS,Mercedes,52.0,0 days 00:01:37.388000,HARD,27.0,1.0,,
RUS,Mercedes,53.0,0 days 00:01:36.261000,HARD,28.0,1.0,,
RUS,Mercedes,54.0,0 days 00:01:36.254000,HARD,29.0,1.0,,
RUS,Mercedes,55.0,0 days 00:01:36.153000,HARD,30.0,1.0,,
RUS,Mercedes,56.0,0 days 00:01:36.333000,HARD,31.0,1.0,,
RUS,Mercedes,57.0,0 days 00:01:36.133000,HARD,32.0,1.0,,
RUS,Mercedes,58.0,0 days 00:01:36.088000,HARD,33.0,1.0,,
RUS,Mercedes,59.0,0 days 00:01:36.405000,HARD,34.0,1.0,,
RUS,Mercedes,60.0,0 days 00:01:36.381000,HARD,35.0,1.0,,
RUS,Mercedes,61.0,0 days 00:01:36.257000,HARD,36.0,1.0,,
RUS,Mercedes,62.0,0 days 00:01:36.455000,HARD,37.0,1.0,,
VER,Red Bull Racing,1.0,0 days 00:01:44.887000,SOFT,4.0,2.0,,
VER,Red Bull Racing,2.0,0 days 00:01:39.698000,SOFT,5.0,2.0,,
VER,Red Bull Racing,3.0,0 days 00:01:38.481000,SOFT,6.0,2.0,,
VER,Red Bull Racing,4.0,0 days 00:01:38.077000,SOFT,7.0,2.0,,
VER,Red Bull Racing,5.0,0 days 00:01:37.504000,SOFT,8.0,2.0,,
VER,Red Bull Racing,6.0,0 days 00:01:37.326000,SOFT,9.0,2.0,,
VER,Red Bull Racing,7.0,0 days 00:01:37.149000,SOFT,10.0,2.0,,
VER,Red Bull Racing,8.0,0 days 00:01:37.136000,SOFT,11.0,2.0,,
VER,Red Bull Racing,9.0,0 days 00:01:37.165000,SOFT,12.0,2.0,,
VER,Red Bull Racing,10.0,0 days 00:01:37.239000,SOFT,13.0,2.0,,
VER,Red Bull Racing,11.0,0 days 00:01:37.223000,SOFT,14.0,2.0,,
VER,Red Bull Racing,12.0,0 days 00:01:37.187000,SOFT,15.0,2.0,,
VER,Red Bull Racing,13.0,0 days 00:01:37.332000,SOFT,16.0,2.0,,
VER,Red Bull Racing,14.0,0 days 00:01:37.472000,SOFT,17.0,2.0,,
VER,Red Bull Racing,15.0,0 days 00:01:37.292000,SOFT,18.0,2.0,,
VER,Red Bull Racing,16.0,0 days 00:01:37.318000,SOFT,19.0,2.0,,
VER,Red Bull Racing,17.0,0 days 00:01:37.231000,SOFT,20.0,2.0,,
VER,Red Bull Racing,18.0,0 days 00:01:37.449000,SOFT,21.0,2.0,,
VER,Red Bull Racing,19.0,0 days 00:01:43.287000,SOFT,22.0,4.0,0 days 01:25:58.620000,
VER,Red Bull Racing,20.0,0 days 00:01:53.036000,HARD,1.0,7.0,,0 days 01:26:22.690000
VER,Red Bull Racing,21.0,0 days 00:01:36.786000,HARD,2.0,7.0,,
VER,Red Bull Racing,22.0,0 days 00:01:36.330000,HARD,3.0,6.0,,
VER,Red Bull Racing,23.0,0 days 00:01:36.084000,HARD,4.0,6.0,,
VER,Red Bull Racing,24.0,0 days 00:01:36.359000,HARD,5.0,5.0,,
VER,Red Bull Racing,25.0,0 days 00:01:35.870000,HARD,6.0,4.0,,
VER,Red Bull Racing,26.0,0 days 00:01:35.938000,HARD,7.0,4.0,,
VER,Red Bull Racing,27.0,0 days 00:01:36.002000,HARD,8.0,3.0,,
VER,Red Bull Racing,28.0,0 days 00:01:35.732000,HARD,9.0,2.0,,
VER,Red Bull Racing,29.0,0 days 00:01:36.150000,HARD,10.0,2.0,,
VER,Red Bull Racing,30.0,0 days 00:01:35.649000,HARD,11.0,2.0,,
VER,Red Bull Racing,31.0,0 days 00:01:35.751000,HARD,12.0,2.0,,
VER,Red Bull Racing,32.0,0 days 00:01:35.684000,HARD,13.0,2.0,,
VER,Red Bull Racing,33.0,0 days 00:01:35.676000,HARD,14.0,2.0,,
VER,Red Bull Racing,34.0,0 days 00:01:35.815000,HARD,15.0,2.0,,
VER,Red Bull Racing,35.0,0 days 00:01:35.898000,HARD,16.0,2.0,,
VER,Red Bull Racing,36.0,0 days 00:01:37.774000,HARD,17.0,2.0,,
VER,Red Bull Racing,37.0,0 days 00:01:36.420000,HARD,18.0,2.0,,
VER,Red Bull Racing,38.0,0 days 00:01:36.064000,HARD,19.0,2.0,,
VER,Red Bull Racing,39.0,0 days 00:01:36.298000,HARD,20.0,2.0,,
VER,Red Bull Racing,40.0,0 days 00:01:36.130000,HARD,21.0,2.0,,
VER,Red Bull Racing,41.0,0 days 00:01:36.263000,HARD,22.0,2.0,,
VER,Red Bull Racing,42.0,0 days 00:01:36.448000,HARD,23.0,2.0,,
VER,Red Bull Racing,43.0,0 days 00:01:37.090000,HARD,24.0,2.0,,
VER,Red Bull Racing,44.0,0 days 00:01:36.872000,HARD,25.0,2.0,,
VER,Red Bull Racing,45.0,0 days 00:01:37.805000,HARD,26.0,2.0,,
VER,Red Bull Racing,46.0,0 days 00:01:37.540000,HARD,27.0,2.0,,
VER,Red Bull Racing,47.0,0 days 00:01:37.510000,HARD,28.0,2.0,,
VER,Red Bull Racing,48.0,0 days 00:01:37.119000,HARD,29.0,2.0,,
VER,Red Bull Racing,49.0,0 days 00:01:36.211000,HARD,30.0,2.0,,
VER,Red Bull Racing,50.0,0 days 00:01:36.080000,HARD,31.0,2.0,,
VER,Red Bull Racing,51.0,0 days 00:01:36.257000,HARD,32.0,2.0,,
VER,Red Bull Racing,52.0,0 days 00:01:36.687000,HARD,33.0,2.0,,
VER,Red Bull Racing,53.0,0 days 00:01:37.611000,HARD,34.0,2.0,,
VER,Red Bull Racing,54.0,0 days 00:01:36.581000,HARD,35.0,2.0,,
VER,Red Bull Racing,55.0,0 days 00:01:36.326000,HARD,36.0,2.0,,
VER,Red Bull Racing,56.0,0 days 00:01:36.666000,HARD,37.0,2.0,,
VER,Red Bull Racing,57.0,0 days 00:01:36.142000,HARD,38.0,2.0,,
VER,Red Bull Racing,58.0,0 days 00:01:35.982000,HARD,39.0,2.0,,
VER,Red Bull Racing,59.0,0 days 00:01:35.999000,HARD,40.0,2.0,,
VER,Red Bull Racing,60.0,0 days 00:01:36.194000,HARD,41.0,2.0,,
VER,Red Bull Racing,61.0,0 days 00:01:36.036000,HARD,42.0,2.0,,
VER,Red Bull Racing,62.0,0 days 00:01:36.479000,HARD,43.0,2.0,,
NOR,McLaren,1.0,0 days 00:01:45.566000,MEDIUM,1.0,3.0,,
NOR,McLaren,2.0,0 days 00:01:39.639000,MEDIUM,2.0,3.0,,
NOR,McLaren,3.0,0 days 00:01:38.753000,MEDIUM,3.0,3.0,,
NOR,McLaren,4.0,0 days 00:01:38.211000,MEDIUM,4.0,3.0,,
NOR,McLaren,5.0,0 days 00:01:38.066000,MEDIUM,5.0,3.0,,
NOR,McLaren,6.0,0 days 00:01:37.597000,MEDIUM,6.0,3.0,,
NOR,McLaren,7.0,0 days 00:01:37.199000,MEDIUM,7.0,3.0,,
NOR,McLaren,8.0,0 days 00:01:37.032000,MEDIUM,8.0,3.0,,
NOR,McLaren,9.0,0 days 00:01:37.125000,MEDIUM,9.0,3.0,,
NOR,McLaren,10.0,0 days 00:01:37.259000,MEDIUM,10.0,3.0,,
NOR,McLaren,11.0,0 days 00:01:37.130000,MEDIUM,11.0,3.0,,
NOR,McLaren,12.0,0 days 00:01:37.157000,MEDIUM,12.0,3.0,,
NOR,McLaren,13.0,0 days 00:01:37.040000,MEDIUM,13.0,3.0,,
NOR,McLaren,14.0,0 days 00:01:37.333000,MEDIUM,14.0,3.0,,
NOR,McLaren,15.0,0 days 00:01:37.198000,MEDIUM,15.0,3.0,,
NOR,McLaren,16.0,0 days 00:01:37.329000,MEDIUM,16.0,3.0,,
NOR,McLaren,17.0,0 days 00:01:37.177000,MEDIUM,17.0,3.0,,
NOR,McLaren,18.0,0 days 00:01:37.444000,MEDIUM,18.0,3.0,,
NOR,McLaren,19.0,0 days 00:01:37.559000,MEDIUM,19.0,2.0,,
NOR,McLaren,20.0,0 days 00:01:37.016000,MEDIUM,20.0,2.0,,
NOR,McLaren,21.0,0 days 00:01:36.638000,MEDIUM,21.0,2.0,,
NOR,McLaren,22.0,0 days 00:01:36.688000,MEDIUM,22.0,2.0,,
NOR,McLaren,23.0,0 days 00:01:36.810000,MEDIUM,23.0,2.0,,
NOR,McLaren,24.0,0 days 00:01:36.959000,MEDIUM,24.0,2.0,,
NOR,McLaren,25.0,0 days 00:01:37.153000,MEDIUM,25.0,2.0,,
NOR,McLaren,26.0,0 days 00:01:42.705000,MEDIUM,26.0,2.0,0 days 01:37:17.996000,
NOR,McLaren,27.0,0 days 00:01:51.946000,HARD,1.0,4.0,,0 days 01:37:41.203000
NOR,McLaren,28.0,0 days 00:01:35.623000,HARD,2.0,3.0,,
NOR,McLaren,29.0,0 days 00:01:35.697000,HARD,3.0,3.0,,
NOR,McLaren,30.0,0 days 00:01:35.765000,HARD,4.0,3.0,,
NOR,McLaren,31.0,0 days 00:01:35.721000,HARD,5.0,3.0,,
NOR,McLaren,32.0,0 days 00:01:35.636000,HARD,6.0,3.0,,
NOR,McLaren,33.0,0 days 00:01:35.709000,HARD,7.0,3.0,,
NOR,McLaren,34.0,0 days 00:01:35.847000,HARD,8.0,3.0,,
NOR,McLaren,35.0,0 days 00:01:35.987000,HARD,9.0,3.0,,
NOR,McLaren,36.0,0 days 00:01:35.555000,HARD,10.0,3.0,,
NOR,McLaren,37.0,0 days 00:01:35.996000,HARD,11.0,3.0,,
NOR,McLaren,38.0,0 days 00:01:36,HARD,12.0,3.0,,
NOR,McLaren,39.0,0 days 00:01:35.926000,HARD,13.0,3.0,,
NOR,McLaren,40.0,0 days 00:01:36.261000,HARD,14.0,3.0,,
NOR,McLaren,41.0,0 days 00:01:37.060000,HARD,15.0,3.0,,
NOR,McLaren,42.0,0 days 00:01:36.631000,HARD,16.0,3.0,,
NOR,McLaren,43.0,0 days 00:01:36.633000,HARD,17.0,3.0,,
NOR,McLaren,44.0,0 days 00:01:36.381000,HARD,18.0,3.0,,
NOR,McLaren,45.0,0 days 00:01:37.450000,HARD,19.0,3.0,,
NOR,McLaren,46.0,0 days 00:01:37.012000,HARD,20.0,3.0,,
NOR,McLaren,47.0,0 days 00:01:37.318000,HARD,21.0,3.0,,
NOR,McLaren,48.0,0 days 00:01:37.376000,HARD,22.0,3.0,,
NOR,McLaren,49.0,0 days 00:01:36.250000,HARD,23.0,3.0,,
NOR,McLaren,50.0,0 days 00:01:35.958000,HARD,24.0,3.0,,
NOR,McLaren,51.0,0 days 00:01:36.275000,HARD,25.0,3.0,,
NOR,McLaren,52.0,0 days 00:01:36.690000,HARD,26.0,3.0,,
NOR,McLaren,53.0,0 days 00:01:37.814000,HARD,27.0,3.0,,
NOR,McLaren,54.0,0 days 00:01:36.670000,HARD,28.0,3.0,,
NOR,McLaren,55.0,0 days 00:01:36.390000,HARD,29.0,3.0,,
NOR,McLaren,56.0,0 days 00:01:36.324000,HARD,30.0,3.0,,
NOR,McLaren,57.0,0 days 00:01:36.115000,HARD,31.0,3.0,,
NOR,McLaren,58.0,0 days 00:01:36.211000,HARD,32.0,3.0,,
NOR,McLaren,59.0,0 days 00:01:35.819000,HARD,33.0,3.0,,
NOR,McLaren,60.0,0 days 00:01:36.232000,HARD,34.0,3.0,,
NOR,McLaren,61.0,0 days 00:01:36.122000,HARD,35.0,3.0,,
NOR,McLaren,62.0,0 days 00:01:36.250000,HARD,36.0,3.0,,
PIA,McLaren,1.0,0 days 00:01:46.982000,MEDIUM,1.0,4.0,,
PIA,McLaren,2.0,0 days 00:01:40.284000,MEDIUM,2.0,4.0,,
PIA,McLaren,3.0,0 days 00:01:38.968000,MEDIUM,3.0,4.0,,
PIA,McLaren,4.0,0 days 00:01:38.418000,MEDIUM,4.0,4.0,,
PIA,McLaren,5.0,0 days 00:01:37.949000,MEDIUM,5.0,4.0,,
PIA,McLaren,6.0,0 days 00:01:37.924000,MEDIUM,6.0,4.0,,
PIA,McLaren,7.0,0 days 00:01:37.249000,MEDIUM,7.0,4.0,,
PIA,McLaren,8.0,0 days 00:01:37.212000,MEDIUM,8.0,4.0,,
PIA,McLaren,9.0,0 days 00:01:37.212000,MEDIUM,9.0,4.0,,
PIA,McLaren,10.0,0 days 00:01:37.736000,MEDIUM,10.0,4.0,,
PIA,McLaren,11.0,0 days 00:01:37.428000,MEDIUM,11.0,4.0,,
PIA,McLaren,12.0,0 days 00:01:37.685000,MEDIUM,12.0,4.0,,
PIA,McLaren,13.0,0 days 00:01:37.334000,MEDIUM,13.0,4.0,,
PIA,McLaren,14.0,0 days 00:01:37.478000,MEDIUM,14.0,4.0,,
PIA,McLaren,15.0,0 days 00:01:37.412000,MEDIUM,15.0,4.0,,
PIA,McLaren,16.0,0 days 00:01:37.347000,MEDIUM,16.0,4.0,,
PIA,McLaren,17.0,0 days 00:01:37.388000,MEDIUM,17.0,4.0,,
PIA,McLaren,18.0,0 days 00:01:36.923000,MEDIUM,18.0,4.0,,
PIA,McLaren,19.0,0 days 00:01:37.117000,MEDIUM,19.0,3.0,,
PIA,McLaren,20.0,0 days 00:01:36.992000,MEDIUM,20.0,3.0,,
PIA,McLaren,21.0,0 days 00:01:36.796000,MEDIUM,21.0,3.0,,
PIA,McLaren,22.0,0 days 00:01:36.609000,MEDIUM,22.0,3.0,,
PIA,McLaren,23.0,0 days 00:01:36.846000,MEDIUM,23.0,3.0,,
PIA,McLaren,24.0,0 days 00:01:37.546000,MEDIUM,24.0,3.0,,
PIA,McLaren,25.0,0 days 00:01:36.701000,MEDIUM,25.0,3.0,,
PIA,McLaren,26.0,0 days 00:01:36.840000,MEDIUM,26.0,1.0,,
PIA,McLaren,27.0,0 days 00:01:42.830000,MEDIUM,27.0,1.0,0 days 01:38:59.354000,
PIA,McLaren,28.0,0 days 00:01:56.043000,HARD,1.0,4.0,,0 days 01:39:26.033000
PIA,McLaren,29.0,0 days 00:01:35.649000,HARD,2.0,4.0,,
PIA,McLaren,30.0,0 days 00:01:35.535000,HARD,3.0,4.0,,
PIA,McLaren,31.0,0 days 00:01:35.408000,HARD,4.0,4.0,,
PIA,McLaren,32.0,0 days 00:01:35.565000,HARD,5.0,4.0,,
PIA,McLaren,33.0,0 days 00:01:35.668000,HARD,6.0,4.0,,
PIA,McLaren,34.0,0 days 00:01:35.737000,HARD,7.0,4.0,,
PIA,McLaren,35.0,0 days 00:01:35.920000,HARD,8.0,4.0,,
PIA,McLaren,36.0,0 days 00:01:35.449000,HARD,9.0,4.0,,
PIA,McLaren,37.0,0 days 00:01:35.660000,HARD,10.0,4.0,,
PIA,McLaren,38.0,0 days 00:01:35.585000,HARD,11.0,4.0,,
PIA,McLaren,39.0,0 days 00:01:35.688000,HARD,12.0,4.0,,
PIA,McLaren,40.0,0 days 00:01:36.172000,HARD,13.0,4.0,,
PIA,McLaren,41.0,0 days 00:01:35.744000,HARD,14.0,4.0,,
PIA,McLaren,42.0,0 days 00:01:35.930000,HARD,15.0,4.0,,
PIA,McLaren,43.0,0 days 00:01:36.449000,HARD,16.0,4.0,,
PIA,McLaren,44.0,0 days 00:01:36.738000,HARD,17.0,4.0,,
PIA,McLaren,45.0,0 days 00:01:37.103000,HARD,18.0,4.0,,
PIA,McLaren,46.0,0 days 00:01:35.980000,HARD,19.0,4.0,,
PIA,McLaren,47.0,0 days 00:01:36.413000,HARD,20.0,4.0,,
PIA,McLaren,48.0,0 days 00:01:37.661000,HARD,21.0,4.0,,
PIA,McLaren,49.0,0 days 00:01:37.286000,HARD,22.0,4.0,,
PIA,McLaren,50.0,0 days 00:01:37.368000,HARD,23.0,4.0,,
PIA,McLaren,51.0,0 days 00:01:36.174000,HARD,24.0,4.0,,
PIA,McLaren,52.0,0 days 00:01:35.882000,HARD,25.0,4.0,,
PIA,McLaren,53.0,0 days 00:01:35.556000,HARD,26.0,4.0,,
PIA,McLaren,54.0,0 days 00:01:36.978000,HARD,27.0,4.0,,
PIA,McLaren,55.0,0 days 00:01:35.881000,HARD,28.0,4.0,,
PIA,McLaren,56.0,0 days 00:01:36.078000,HARD,29.0,4.0,,
PIA,McLaren,57.0,0 days 00:01:36.400000,HARD,30.0,4.0,,
PIA,McLaren,58.0,0 days 00:01:35.867000,HARD,31.0,4.0,,
PIA,McLaren,59.0,0 days 00:01:35.606000,HARD,32.0,4.0,,
PIA,McLaren,60.0,0 days 00:01:35.858000,HARD,33.0,4.0,,
PIA,McLaren,61.0,0 days 00:01:35.890000,HARD,34.0,4.0,,
PIA,McLaren,62.0,0 days 00:01:36.386000,HARD,35.0,4.0,,
ANT,Mercedes,1.0,0 days 00:01:47.862000,MEDIUM,1.0,6.0,,
ANT,Mercedes,2.0,0 days 00:01:41.392000,MEDIUM,2.0,6.0,,
ANT,Mercedes,3.0,0 days 00:01:39.261000,MEDIUM,3.0,6.0,,
ANT,Mercedes,4.0,0 days 00:01:38.206000,MEDIUM,4.0,6.0,,
ANT,Mercedes,5.0,0 days 00:01:38.044000,MEDIUM,5.0,6.0,,
ANT,Mercedes,6.0,0 days 00:01:37.733000,MEDIUM,6.0,6.0,,
ANT,Mercedes,7.0,0 days 00:01:37.906000,MEDIUM,7.0,6.0,,
ANT,Mercedes,8.0,0 days 00:01:37.588000,MEDIUM,8.0,6.0,,
ANT,Mercedes,9.0,0 days 00:01:37.736000,MEDIUM,9.0,6.0,,
ANT,Mercedes,10.0,0 days 00:01:37.905000,MEDIUM,10.0,6.0,,
ANT,Mercedes,11.0,0 days 00:01:37.615000,MEDIUM,11.0,6.0,,
ANT,Mercedes,12.0,0 days 00:01:37.615000,MEDIUM,12.0,6.0,,
ANT,Mercedes,13.0,0 days 00:01:37.621000,MEDIUM,13.0,6.0,,
ANT,Mercedes,14.0,0 days 00:01:37.711000,MEDIUM,14.0,6.0,,
ANT,Mercedes,15.0,0 days 00:01:37.851000,MEDIUM,15.0,6.0,,
ANT,Mercedes,16.0,0 days 00:01:37.705000,MEDIUM,16.0,6.0,,
ANT,Mercedes,17.0,0 days 00:01:37.529000,MEDIUM,17.0,6.0,,
ANT,Mercedes,18.0,0 days 00:01:37.730000,MEDIUM,18.0,6.0,,
ANT,Mercedes,19.0,0 days 00:01:37.704000,MEDIUM,19.0,6.0,,
ANT,Mercedes,20.0,0 days 00:01:37.744000,MEDIUM,20.0,5.0,,
ANT,Mercedes,21.0,0 days 00:01:37.466000,MEDIUM,21.0,4.0,,
ANT,Mercedes,22.0,0 days 00:01:36.842000,MEDIUM,22.0,4.0,,
ANT,Mercedes,23.0,0 days 00:01:37.176000,MEDIUM,23.0,4.0,,
ANT,Mercedes,24.0,0 days 00:01:36.971000,MEDIUM,24.0,4.0,,
ANT,Mercedes,25.0,0 days 00:01:42.347000,MEDIUM,25.0,5.0,0 days 01:35:53.444000,
ANT,Mercedes,26.0,0 days 00:01:54.510000,HARD,1.0,7.0,,0 days 01:36:17.163000
ANT,Mercedes,27.0,0 days 00:01:35.303000,HARD,2.0,6.0,,
ANT,Mercedes,28.0,0 days 00:01:36.339000,HARD,3.0,6.0,,
ANT,Mercedes,29.0,0 days 00:01:36.676000,HARD,4.0,6.0,,
ANT,Mercedes,30.0,0 days 00:01:36.351000,HARD,5.0,6.0,,
ANT,Mercedes,31.0,0 days 00:01:36.808000,HARD,6.0,6.0,,
ANT,Mercedes,32.0,0 days 00:01:37.339000,HARD,7.0,6.0,,
ANT,Mercedes,33.0,0 days 00:01:36.324000,HARD,8.0,6.0,,
ANT,Mercedes,34.0,0 days 00:01:36.640000,HARD,9.0,6.0,,
ANT,Mercedes,35.0,0 days 00:01:35.984000,HARD,10.0,6.0,,
ANT,Mercedes,36.0,0 days 00:01:36.426000,HARD,11.0,6.0,,
ANT,Mercedes,37.0,0 days 00:01:36.431000,HARD,12.0,6.0,,
ANT,Mercedes,38.0,0 days 00:01:36.730000,HARD,13.0,6.0,,
ANT,Mercedes,39.0,0 days 00:01:36.490000,HARD,14.0,6.0,,
ANT,Mercedes,40.0,0 days 00:01:36.189000,HARD,15.0,6.0,,
ANT,Mercedes,41.0,0 days 00:01:35.997000,HARD,16.0,6.0,,
ANT,Mercedes,42.0,0 days 00:01:36.022000,HARD,17.0,6.0,,
ANT,Mercedes,43.0,0 days 00:01:36.406000,HARD,18.0,6.0,,
ANT,Mercedes,44.0,0 days 00:01:36.331000,HARD,19.0,6.0,,
ANT,Mercedes,45.0,0 days 00:01:36.586000,HARD,20.0,6.0,,
ANT,Mercedes,46.0,0 days 00:01:36.744000,HARD,21.0,6.0,,
ANT,Mercedes,47.0,0 days 00:01:36.486000,HARD,22.0,6.0,,
ANT,Mercedes,48.0,0 days 00:01:36.136000,HARD,23.0,6.0,,
ANT,Mercedes,49.0,0 days 00:01:37.413000,HARD,24.0,6.0,,
ANT,Mercedes,50.0,0 days 00:01:36.287000,HARD,25.0,6.0,,
ANT,Mercedes,51.0,0 days 00:01:37.036000,HARD,26.0,6.0,,
ANT,Mercedes,52.0,0 days 00:01:37.788000,HARD,27.0,6.0,,
ANT,Mercedes,53.0,0 days 00:01:37.875000,HARD,28.0,5.0,,
ANT,Mercedes,54.0,0 days 00:01:36.969000,HARD,29.0,5.0,,
ANT,Mercedes,55.0,0 days 00:01:36.558000,HARD,30.0,5.0,,
ANT,Mercedes,56.0,0 days 00:01:36.629000,HARD,31.0,5.0,,
ANT,Mercedes,57.0,0 days 00:01:36.303000,HARD,32.0,5.0,,
ANT,Mercedes,58.0,0 days 00:01:36.307000,HARD,33.0,5.0,,
ANT,Mercedes,59.0,0 days 00:01:37.901000,HARD,34.0,5.0,,
ANT,Mercedes,60.0,0 days 00:01:36.757000,HARD,35.0,5.0,,
ANT,Mercedes,61.0,0 days 00:01:36.394000,HARD,36.0,5.0,,
ANT,Mercedes,62.0,0 days 00:01:39.323000,HARD,37.0,5.0,,
LEC,Ferrari,1.0,0 days 00:01:47.564000,MEDIUM,1.0,5.0,,
LEC,Ferrari,2.0,0 days 00:01:41.077000,MEDIUM,2.0,5.0,,
LEC,Ferrari,3.0,0 days 00:01:39.042000,MEDIUM,3.0,5.0,,
LEC,Ferrari,4.0,0 days 00:01:38.265000,MEDIUM,4.0,5.0,,
LEC,Ferrari,5.0,0 days 00:01:38.061000,MEDIUM,5.0,5.0,,
LEC,Ferrari,6.0,0 days 00:01:37.827000,MEDIUM,6.0,5.0,,
LEC,Ferrari,7.0,0 days 00:01:37.846000,MEDIUM,7.0,5.0,,
LEC,Ferrari,8.0,0 days 00:01:37.422000,MEDIUM,8.0,5.0,,
LEC,Ferrari,9.0,0 days 00:01:37.184000,MEDIUM,9.0,5.0,,
LEC,Ferrari,10.0,0 days 00:01:37.730000,MEDIUM,10.0,5.0,,
LEC,Ferrari,11.0,0 days 00:01:37.871000,MEDIUM,11.0,5.0,,
LEC,Ferrari,12.0,0 days 00:01:37.618000,MEDIUM,12.0,5.0,,
LEC,Ferrari,13.0,0 days 00:01:37.431000,MEDIUM,13.0,5.0,,
LEC,Ferrari,14.0,0 days 00:01:37.493000,MEDIUM,14.0,5.0,,
LEC,Ferrari,15.0,0 days 00:01:37.648000,MEDIUM,15.0,5.0,,
LEC,Ferrari,16.0,0 days 00:01:37.525000,MEDIUM,16.0,5.0,,
LEC,Ferrari,17.0,0 days 00:01:37.995000,MEDIUM,17.0,5.0,,
LEC,Ferrari,18.0,0 days 00:01:38.131000,MEDIUM,18.0,5.0,,
